mp_id,material,spacegroup,sg_symbol,crystal_system,nsites,volume,density
3677,MgSiN2,33,Pna2_1,Orthorhombic,16,170.695,3128.71
3688,Er2Sn2O7,227,Fd-3m,Cubic,88,1099.6873,8261.98
3694,NdPS4,142,I4_1/acd,Tetragonal,96,2231.5132,3613.22
3700,LiYF4,88,I4_1/a,Tetragonal,24,282.7895,4036.19
3704,Cs2Mn3Se4,72,Ibam,Orthorhombic,36,833.9049,5945.69
3707,CaGe2O5,15,C2/c,Monoclinic,32,365.1544,4826.81
3719,Rb3NbS4,62,Pnma,Orthorhombic,32,1016.2448,3121.39
3721,SrHfO3,140,I4/mcm,Tetragonal,20,268.7516,7763.14
3727,Nd3NbO7,63,Cmcm,Orthorhombic,44,620.5477,6824.98
3731,LiNbO3,161,R3c,Trigonal,30,320.3805,4597.72
3739,NdCuSe2,14,P2_1/c,Monoclinic,16,343.2569,7076.6
3744,NaNbO2,194,P6_3/mmc,Hexagonal,8,87.8096,5593.59
3748,AlCuO2,166,R-3m,Trigonal,12,118.5368,5149.28
3751,AlTlF4,15,C2/c,Monoclinic,24,325.7094,6267.93
3756,SmTaO4,15,C2/c,Monoclinic,24,304.1418,8633.09
3759,MgGeO3,148,R-3,Trigonal,30,294.0697,4910.75
3762,VCu3S4,215,P-43m,Cubic,8,149.0378,4120.66
3765,Sr(PO3)2,14,P2_1/c,Monoclinic,72,999.6086,3263.43
3771,MgTiO3,148,R-3,Trigonal,30,307.2131,3897.25
3772,Cd(GaSe2)2,82,I-4,Tetragonal,14,352.4924,5348.67
3775,Na2SiF6,150,P321,Trigonal,27,346.9132,2700.45
3777,BaSiN2,64,Cmce,Orthorhombic,32,484.6119,5302.25
3779,CrSiTe3,148,R-3,Trigonal,30,729.3412,6323.24
3782,Nd3Sb5O12,217,I-43m,Cubic,80,1314.148,6234.63
3785,TlGaTe2,140,I4/mcm,Tetragonal,16,471.7021,7453.3
3788,SrAl4O7,15,C2/c,Monoclinic,48,630.2137,3241.35
3789,Zn2SiO4,148,R-3,Trigonal,126,1574.3585,4230.75
3792,YAlO3,62,Pnma,Orthorhombic,20,202.5588,5374.02
3795,NaZnF3,62,Pnma,Orthorhombic,20,234.8165,4111.88
3797,K3AsS4,62,Pnma,Orthorhombic,32,899.3417,2366.9
3807,Al2CdSe4,227,Fd-3m,Cubic,56,1264.9454,5064.16
3808,K2UO4,139,I4/mmm,Tetragonal,14,248.1602,5088.45
3810,Hg(AsO3)2,162,P-31m,Trigonal,9,103.9153,7133.83
3813,Ba2ZrS4,139,I4/mmm,Tetragonal,14,381.2614,4304.32
3821,K2PtF6,164,P-3m1,Trigonal,9,135.5902,4742.81
3822,SrCO3,62,Pnma,Orthorhombic,20,255.4969,3837.91
3828,BaAl2O4,182,P6_322,Hexagonal,14,208.5652,4065.06
3831,SmPO4,14,P2_1/c,Monoclinic,24,281.7031,5784.57
3838,Li5ReN4,59,Pmmn,Orthorhombic,20,213.44,4309.11
3848,BaGe4O9,150,P321,Trigonal,42,558.3555,5102.3
3855,Na2BeF4,14,P2_1/c,Monoclinic,28,346.2334,2512.83
3857,Ba3(PO4)2,166,R-3m,Trigonal,39,569.6529,5263.83
3858,NaTaO3,62,Pnma,Orthorhombic,20,235.6914,7099.96
3859,Ca2B2O5,14,P2_1/c,Monoclinic,36,422.0011,2861.08
3870,Sr2Nb2O7,36,Cmc2_1,Orthorhombic,44,613.1227,5124.69
3872,Mg(AlS2)2,62,Pnma,Orthorhombic,28,531.0215,2583.31
3881,BaZnF4,36,Cmc2_1,Orthorhombic,24,357.0002,5185.36
3884,Ho2Sn2O7,227,Fd-3m,Cubic,88,1107.6179,8146.97
3887,Li3GaN2,206,Ia-3,Cubic,96,871.0767,3616.17
3889,NaBO2,167,R-3c,Trigonal,72,782.6452,2512.93
3897,SmPS4,142,I4_1/acd,Tetragonal,96,2179.8646,3773.39
3901,NdNbO4,15,C2/c,Monoclinic,24,316.5962,6318.02
3904,Mg2GeO4,227,Fd-3m,Cubic,56,565.3497,4352.86
3915,BaHgO2,166,R-3m,Trigonal,12,285.9665,6444.04
3917,Cd2GeO4,62,Pnma,Orthorhombic,28,385.6322,6225.81
3919,KBO2,167,R-3c,Trigonal,72,1042.5782,2348.23
3922,AgSbS2,15,C2/c,Monoclinic,32,703.5294,5546.86
3924,LiNbO2,194,P6_3/mmc,Hexagonal,8,76.2943,5739.24
