mp_id,material,gamma_mean,gamma_transport,gamma_norm_mean,gamma_norm_transport,kappa_rta,log_gamma_transport,inv_gamma_transport,n_modes,compute_time_s
4524,ZnGeP2,0.018273,0.011633,0.000406,0.000453,39.14,-4.4539,85.9615,24,30.4
1986,ZnO,0.025561,0.016289,0.000312,0.000328,41.14,-4.1173,61.3905,6,2.7
2133,ZnO,0.029563,0.018554,0.000339,0.000336,52.49,-3.9871,53.8976,12,14.9
10281,ZnS,0.044423,0.019797,0.001132,0.000870,42.56,-3.9222,50.5119,24,26.0
1190,ZnSe,0.019963,0.022401,0.000931,0.001351,16.96,-3.7987,44.6418,6,2.6
380,ZnSe,0.019456,0.021589,0.000951,0.001398,15.61,-3.8356,46.3203,12,14.7
4175,ZnSnP2,0.007487,0.006335,0.000228,0.000361,48.81,-5.0616,157.8466,24,37.1
2176,ZnTe,0.014534,0.012823,0.001081,0.001459,24.11,-4.3565,77.9869,6,2.6
23162,ZrCl2,0.010960,0.006082,0.000296,0.000532,23.45,-5.1024,164.4120,9,19.0
924129,ZrNiSn,0.013367,0.009289,0.000558,0.000766,16.12,-4.6790,107.6592,9,6.3
2574,ZrO2,0.221243,0.218893,0.003034,0.003003,4.71,-1.5192,4.5685,18,16.5
1186,ZrS2,0.141900,0.073602,0.003520,0.002156,7.34,-2.6091,13.5866,9,17.7
