material,mp_id,k_bte_xx,k_bte_yy,k_bte_zz,k_bte_avg
CdS,2469,20.23,20.23,20.23,20.23
Cs2Mn3S4,2884,3.11,2.35,0.91,2.12
CsAu,2667,0.23,0.23,0.23,0.23
Dy2O3,2345,8.37,8.37,8.37,8.37
Er2CdS4,3041,3.62,3.62,3.62,3.62
Er2O3,2460,4.06,4.38,2.7,3.71
Er2S3,2234,1.23,3.03,1.29,1.85
Ga2Te5,2371,1.82,1.82,2.66,2.1
GaS,2507,39.89,39.89,0.77,26.85
GaSe,1943,24.44,24.44,0.64,16.51
GeS,2242,1.33,4.94,2.22,2.83
HfO2,1858,13.96,11.61,14.1,13.22
In2Si2O7,2874,8.6,6.3,8.05,7.65
IrS2,2833,13.06,46.8,15.83,25.23
K2O2,2672,2.64,2.42,2.53,2.53
KGe,2146,0.2,0.2,0.2,0.2
KTe,2072,0.29,0.29,0.19,0.26
La2O3,1968,3.96,3.96,3.77,3.89
Li2O,1960,21.51,21.51,21.51,21.51
Li2Se,2286,11.46,11.46,11.46,11.46
Li2Te,2530,9.1,9.1,9.1,9.1
Li2TiO3,2931,2.93,2.95,1.9,2.59
Li3PO4,2878,7.74,10.83,10.1,9.55
Li3Sb,2074,3.21,3.21,3.21,3.21
Lu2S3,2826,4.13,4.13,5.4,4.56
LuPO4,2940,16.17,16.17,18.63,16.99
Mg2SiO4,2895,5.44,9.72,11.45,8.87
Mg3As2,1990,1.95,1.95,1.95,1.95
Mg3P2,2514,4.11,4.11,4.11,4.11
MgO2,2589,32.51,32.51,32.51,32.51
MgTe2,2604,3.67,3.67,3.67,3.67
Na2O2,2340,3.57,3.57,4.19,3.78
Na2O,2352,8.47,8.47,8.47,8.47
Na2Te,2784,3.21,3.21,3.21,3.21
NaMgF3,2955,3.0,3.21,3.22,3.14
NaS,2400,1.82,1.82,0.95,1.53
NaSi,2402,0.37,0.23,0.43,0.34
Nd2O3,2763,4.87,4.87,4.68,4.8
P2O5,2173,1.34,7.67,2.32,3.77
P2Os,2319,36.55,41.76,38.87,39.06
P2Pd3S8,3006,1.84,1.84,1.12,1.6
Pr2O3,2063,4.71,4.71,4.51,4.64
Pr2Te4O11,2980,1.5,0.79,0.58,0.96
Pr3Sb5O12,2973,1.17,1.17,1.17,1.17
Rb2BeF4,3009,0.38,0.39,0.28,0.35
Rb2P3,2079,0.44,0.4,0.36,0.4
RbBF4,3032,1.14,1.41,0.65,1.07
RbGe,1888,0.15,0.15,0.15,0.15
RhF3,2068,21.2,21.2,33.49,25.3
RuS2,2030,37.19,37.19,37.19,37.19
SnF2,2843,0.2,0.12,0.22,0.18
SnF4,2706,9.1,9.1,1.6,6.6
SnS,2231,1.05,2.55,1.74,1.78
Sr3P14,1853,0.32,0.18,0.2,0.24
SrN6,2131,0.77,1.35,0.4,0.84
SrO,2472,11.84,11.84,11.84,11.84
SrS2,1950,3.31,3.31,3.44,3.35
SrSe,2758,16.99,16.99,16.99,16.99
SrTe,1958,10.99,10.99,10.99,10.99
Tb2O3,2457,3.09,2.86,1.76,2.57
TeO3,2552,38.41,38.41,53.79,43.54
TiO2,1840,3.37,3.27,4.26,3.64
TiO2,2657,1.59,1.59,2.44,1.87
TlF3,2632,2.17,1.33,1.38,1.63
Tm2S3,2309,1.64,3.55,2.14,2.44
Y2O3,2652,8.58,8.58,8.58,8.58
YCuO2,2918,16.37,16.37,23.66,18.8
YF3,2416,4.01,4.03,2.64,3.56
ZnF2,1873,6.98,6.98,9.29,7.75
ZnO,2133,49.11,49.11,57.26,51.82
ZnP2,2782,13.14,13.14,9.89,12.06
