mp_id,material,sv2,sv2_per_mode,n_modes,n_masked_weighted,phonopy_version
3395,SrSeO3,5481.0427,182.7014,30,0.162037,3.4.0
4092,SrSeO4,4747.3894,65.936,72,0.0,3.4.0
2758,SrSe,1442.805,240.4675,6,0.0,3.4.0
4549,SrSiN2,14155.2194,294.9004,48,0.0,3.4.0
3978,SrSiO3,7160.4606,79.5607,90,0.0,3.4.0
2879,SrSnO3,14408.2925,240.1382,60,0.0,3.4.0
3252,SrTe3O8,14490.4603,201.2564,72,1.166667,3.4.0
4274,SrTeO4,6918.3478,96.0882,72,0.0,3.4.0
1958,SrTe,1267.3068,211.2178,6,0.0,3.4.0
4651,SrTiO3,34895.7026,1163.1901,30,0.037037,3.4.0
3446,SrTm2O4,9581.4523,114.0649,84,0.0,3.4.0
3311,SrUO4,15017.7685,208.5801,72,0.009259,3.4.0
558616,SrZnP2O7,7123.4291,53.9654,132,0.002315,3.4.0
3626,SrZrO3,29220.6653,487.0111,60,1.106481,3.4.0
4387,SrZrO3,12376.1984,206.27,60,0.0,3.4.0
10390,Ta2O5,14186.6221,337.7767,42,0.0,3.4.0
4425,Ta2Pt3Se8,3901.0964,50.0141,78,0.0,3.4.0
4624,TaBO4,13231.7286,367.548,36,0.0,3.4.0
4081,TaCu3Se4,890.5059,37.1044,24,0.0,3.4.0
3102,TaCuS3,6606.7755,110.1129,60,0.0,3.4.0
4165,TaNO,12255.9224,340.4423,36,0.0,3.4.0
510,TaO2,20649.6826,143.4006,144,2.146991,3.4.0
1056,Tb2O3,13044.9926,108.7083,120,0.0,3.4.0
2457,Tb2O3,7085.1617,157.448,45,0.0,3.4.0
4602,Tb2Ti2O7,31057.8036,470.5728,66,1.167824,3.4.0
20606,Tb3In5S12,5265.4587,43.8788,120,0.006944,3.4.0
3551,TbAgTe2,1004.9113,41.8713,24,0.0,3.4.0
4434,TbAlO3,14497.5526,241.6259,60,0.0,3.4.0
3248,TbAsO4,7247.4581,201.3183,36,0.0,3.4.0
11347,TbF3,6297.9576,131.2074,48,0.0,3.4.0
4340,TbPO4,7083.4801,196.7633,36,0.0,3.4.0
4672,TbPS4,3899.0348,27.0766,144,0.0,3.4.0
10782,TbRbSe2,922.6171,76.8848,12,0.0,3.4.0
569507,TbTlSe2,729.3531,60.7794,12,0.0,3.4.0
602,Te2Mo,1849.7258,102.7625,18,0.0,3.4.0
554952,Te2Pb3(ClO3)2,5500.9766,70.5253,78,0.253472,3.4.0
484,Te3As2,2062.3283,68.7443,30,0.101852,3.4.0
1875,TeF6,984.434,11.7195,84,0.601852,3.4.0
2125,TeO2,14007.8654,194.5537,72,0.092593,3.4.0
2739,TeO2,6796.4802,188.7911,36,0.0,3.4.0
557,TeO2,6794.5258,188.7368,36,0.0,3.4.0
2552,TeO3,9466.5306,394.4388,24,0.0,3.4.0
1666,Th2S5,5924.8214,70.5336,84,0.0,3.4.0
2392,Th2Se5,83301.7959,991.688,84,7.398148,3.4.0
7768,Th2SeN2,2834.3482,188.9565,15,0.0,3.4.0
467,Th3N4,6289.876,299.5179,21,0.0,3.4.0
27697,ThI4,1460.5911,24.3432,60,0.011574,3.4.0
643,ThO2,6389.8861,709.9873,9,0.0,3.4.0
1146,ThS2,3088.2074,85.7835,36,0.0,3.4.0
5836,ThSiO4,8868.3823,246.344,36,0.0,3.4.0
7651,ThSiO4,10444.3543,145.0605,72,0.0,3.4.0
4733,ThTi2O6,15240.7531,282.2362,54,0.064815,3.4.0
504427,Ti3PbO7,17309.6585,262.2676,66,0.0,3.4.0
866154,TiBeIr2,2028.3028,169.0252,12,0.0,3.4.0
924130,TiNiSn,1084.9162,120.5462,9,0.0,3.4.0
