mp_id,material,n_atoms_primitive,n_atoms_unitcell,avg_mass_AMU,fc_mean,fc_max,on_site_norm,trace_ratio,aniso,interaction_range,phonopy_version
1000,BaTe,2,8,132.4635,0.32868,5.387949,5.187831,1.0,1.0,1.0,3.4.0
3943,BaTi2O5,24,48,39.1322,0.985211,47.974087,26.448729,0.638109,0.391962,1.0,3.4.0
3175,BaTi4O9,28,28,33.7707,1.314841,43.568937,28.469953,0.627521,0.358738,1.0,3.4.0
2998,BaTiO3,5,5,46.6384,0.939583,26.218416,18.233475,0.802341,0.703512,1.0,3.4.0
3952,BaY2O4,28,28,54.1623,0.80689,24.134781,17.001028,0.841027,0.665673,1.0,3.4.0
6089,BaZn2(PO4)2,52,52,35.2331,1.482429,103.504387,47.506304,0.611871,0.347819,1.0,3.4.0
3881,BaZnF4,12,24,46.4501,0.413598,19.834568,12.101512,0.6271,0.331883,1.0,3.4.0
4236,BaZnO2,12,12,58.6764,0.722248,20.49572,16.950613,0.618217,0.391864,1.0,3.4.0
3104,BaZrN2,8,8,64.1411,0.696539,41.326368,23.070602,0.740601,0.52975,1.0,3.4.0
1569,Be2C,3,12,10.0117,1.068355,34.335781,26.759758,1.0,1.0,1.0,3.4.0
3347,Be2SiO4,42,126,15.7296,1.346412,77.800761,43.479416,0.731158,0.484366,1.0,3.4.0
3081,BeAl2O4,28,28,18.139,1.336691,40.53188,33.913048,0.737733,0.562232,1.0,3.4.0
2542,BeO,4,4,12.5058,1.072283,34.667277,31.827612,0.988605,0.965816,1.0,3.4.0
422,BeS,2,8,20.5386,0.938465,21.261462,18.909154,1.0,1.0,1.0,3.4.0
1541,BeSe,2,8,43.9861,0.795079,18.521437,16.422103,1.0,1.0,1.0,3.4.0
252,BeTe,2,8,68.3061,0.642855,15.791683,13.998943,1.0,1.0,0.904762,3.4.0
23237,BiF3,16,16,66.4939,0.599273,19.497882,11.78324,0.735582,0.464834,1.0,3.4.0
568388,BiI,8,16,167.9424,0.192514,10.005321,7.252259,0.792342,0.533591,0.746063,3.4.0
23074,BiOF,6,6,81.3261,0.809542,21.593103,15.274152,0.780388,0.639351,1.0,3.4.0
759825,BiOF,12,12,81.3261,0.61551,20.641162,14.048428,0.816837,0.581086,1.0,3.4.0
1167,CF4,10,20,17.6009,1.583178,89.441532,49.866422,0.565917,0.348242,1.0,3.4.0
990448,C,2,2,12.0107,1.74557,90.214229,90.214229,0.742528,0.227585,1.0,3.4.0
4555,Ca(AsO3)2,9,9,31.7686,1.849472,60.626835,34.97472,0.746314,0.427296,1.0,3.4.0
2898,Ca(AuO2)2,14,28,71.1441,0.855238,55.265168,32.018559,0.713499,0.35161,1.0,3.4.0
3417,Ca(BO2)2,28,28,17.9568,1.553926,75.779795,54.375648,0.555993,0.20205,1.0,3.4.0
558543,Ca(CO2)2,28,28,18.2996,1.619295,105.283458,68.199229,0.538773,0.190158,1.0,3.4.0
9570,Ca(CdP)2,5,5,65.3695,0.418467,12.542923,10.045359,0.907229,0.730495,1.0,3.4.0
9564,Ca(MgAs)2,5,5,47.7062,0.397705,11.586328,9.76727,0.941863,0.842502,1.0,3.4.0
3142,Ca(NO3)2,36,36,18.232,4.400762,112.46188,63.107453,0.552994,0.198994,1.0,3.4.0
18642,Ca(YS2)2,28,28,49.45,0.465878,15.094573,11.78093,0.864229,0.690827,1.0,3.4.0
3859,Ca2B2O5,36,36,20.1972,1.053452,73.181059,44.33504,0.600563,0.295981,1.0,3.4.0
4155,Ca2Nb2O7,22,88,34.3604,1.673557,43.644976,25.495883,0.630203,0.410677,1.0,3.4.0
4180,Ca2SiO4,28,28,24.6056,1.160567,77.340458,34.827787,0.621611,0.373341,1.0,3.4.0
4481,Ca2SiO4,28,28,24.6056,1.096675,74.375597,33.717371,0.61795,0.402537,1.0,3.4.0
4747,Ca2SnO4,14,14,37.5519,1.085019,41.567396,21.076518,0.752661,0.514908,1.0,3.4.0
3575,Ca3(BO3)2,22,66,21.6229,1.813333,68.294145,37.508682,0.638374,0.314977,1.0,3.4.0
17817,Ca3(GeP2)2,36,36,43.2677,0.33042,21.168578,13.452964,0.802411,0.614552,1.0,3.4.0
3487,Ca3(PO4)2,13,39,23.8597,3.361521,104.32535,45.794359,0.539755,0.287793,1.0,3.4.0
4192,Ca3AsN,20,20,41.8325,0.535621,13.913885,10.94902,0.714432,0.521147,1.0,3.4.0
1047,Ca3N2,10,30,29.6495,0.460644,13.224484,12.505668,0.878175,0.697519,1.0,3.4.0
844,Ca3N2,40,80,29.6495,0.642848,13.450358,12.68536,0.848801,0.728363,1.0,3.4.0
3932,Ca3Si2O7,48,48,24.0334,1.39795,78.841906,38.746575,0.606709,0.347605,1.0,3.4.0
4163,Ca3Ti2O7,24,48,27.3303,1.187712,35.424005,21.566834,0.690513,0.449224,1.0,3.4.0
8568,Ca4PtO6,22,66,41.0357,1.246888,76.530116,23.366303,0.687356,0.483361,1.0,3.4.0
3080,Ca5(Ga3O7)2,50,100,33.7088,1.062965,39.830308,26.817189,0.653641,0.373689,1.0,3.4.0
14600,CaAl2O4,56,56,22.577,1.167157,48.651346,34.7014,0.676102,0.383376,1.0,3.4.0
2963,CaAl2O4,84,84,22.577,1.495047,49.216356,34.912478,0.688678,0.41174,1.0,3.4.0
966582,CaAlH5,56,56,10.2999,0.363596,26.237091,11.827588,0.628443,0.358266,1.0,3.4.0
722262,CaB3H3O7,56,56,13.395,1.431358,78.889535,48.353507,0.601253,0.280777,1.0,3.4.0
1575,CaC2,6,12,21.3665,0.932674,79.785028,56.745293,0.553203,0.306077,1.0,3.4.0
2482,CaC2,3,6,21.3665,1.214486,78.435769,55.680151,0.517502,0.276253,1.0,3.4.0
917,CaC2,6,12,21.3665,0.932384,80.075153,56.707857,0.546839,0.297346,1.0,3.4.0
4124,CaCN2,4,12,20.0255,1.955361,137.776332,76.716378,0.521812,0.249064,1.0,3.4.0
3953,CaCO3,10,30,20.0174,1.3729,100.799584,54.839771,0.61154,0.306297,1.0,3.4.0
4626,CaCO3,20,20,20.0174,2.005922,102.491474,55.065538,0.596414,0.289385,1.0,3.4.0
2741,CaF2,3,12,26.0249,0.572236,14.296998,11.017624,1.0,1.0,1.0,3.4.0
3707,CaGe2O5,16,32,33.1694,1.113206,59.207394,34.335699,0.621407,0.335326,1.0,3.4.0
4279,CaGe2O5,32,32,33.1694,1.055924,46.585023,30.766853,0.740498,0.491549,1.0,3.4.0
642725,CaHClO,8,8,23.1346,0.541792,49.316562,28.354765,0.597927,0.337193,0.942308,3.4.0
676,CaN6,14,56,17.7312,2.276369,176.518885,105.853889,0.449616,0.157388,1.0,3.4.0
2605,CaO,2,8,28.0387,0.972548,15.693304,13.969414,1.0,1.0,1.0,3.4.0
11007,CaPSe3,20,20,61.5864,0.592738,31.37786,16.034196,0.647726,0.414674,1.0,3.4.0
8161,CaPdF4,12,24,37.0819,0.698239,44.373187,19.772489,0.611019,0.311811,1.0,3.4.0
3082,CaSO4,18,18,22.6901,1.236431,127.058312,55.801444,0.586497,0.358399,1.0,3.4.0
4406,CaSO4,12,24,22.6901,1.752734,126.532382,55.379937,0.594651,0.33776,1.0,3.4.0
1672,CaS,2,8,36.0715,0.5533,9.814453,9.748815,1.0,1.0,1.0,3.4.0
4056,CaSc2O4,28,28,27.7125,0.986082,28.093344,20.529522,0.829884,0.665224,1.0,3.4.0
1415,CaSe,2,8,59.519,0.47453,8.806819,8.559224,1.0,1.0,1.0,3.4.0
4782,CaSnF6,8,24,34.0973,0.849594,59.534329,23.640033,0.551859,0.316889,1.0,3.4.0
4190,CaSnO3,10,30,41.3572,0.891657,41.814394,24.0275,0.800685,0.535094,1.0,3.4.0
4438,CaSnO3,20,20,41.3572,1.307373,42.475644,24.653621,0.677868,0.42994,1.0,3.4.0
3079,CaTa4O11,32,32,58.7414,1.487106,53.845391,35.106074,0.661367,0.371868,1.0,3.4.0
1519,CaTe,2,8,83.839,0.386796,7.578526,7.140671,1.0,1.0,1.0,3.4.0
3442,CaTiO3,10,20,27.1886,1.546011,33.581592,22.292659,0.674035,0.496123,1.0,3.4.0
4019,CaTiO3,20,20,27.1886,1.525634,31.972899,21.75298,0.697173,0.493126,1.0,3.4.0
3960,CaUO4,6,18,57.0174,1.509084,64.206663,27.084599,0.71615,0.511717,1.0,3.4.0
3443,Cd(GaO2)2,14,56,45.1221,1.656248,26.033728,23.820546,0.730284,0.595425,1.0,3.4.0
4452,Cd(GaS2)2,7,14,54.3024,0.522685,19.469311,16.408671,0.828694,0.598987,1.0,3.4.0
3772,Cd(GaSe2)2,7,14,81.0996,0.434678,16.525092,14.011594,0.847776,0.642381,1.0,3.4.0
4659,Cd(PO3)2,72,72,30.0394,1.387735,106.409911,59.731893,0.536626,0.240946,1.0,3.4.0
3917,Cd2GeO4,28,28,51.6371,0.898273,55.69613,26.963452,0.611103,0.365705,1.0,3.4.0
